date,tag,asset,downloads
2026-07-31,"v0.1.2","wordpress-contributor-toolkit-0.1.2-linux-x64.AppImage",0
2026-07-31,"v0.1.2","wordpress-contributor-toolkit-0.1.2-mac-arm64.dmg",1
2026-07-31,"v0.1.2","wordpress-contributor-toolkit-0.1.2-win-x64.exe",0
2026-07-31,"v0.1.1","dist_WordPress.Contributor.Toolkit.Setup.0.1.0.exe",7
2026-07-31,"v0.1.1","WordPress.Contributor.Toolkit-0.1.0-arm64.dmg",15
2026-07-31,"v0.1.1","WordPress.Contributor.Toolkit-0.1.0.AppImage",20
2026-07-31,"v0.1.0","linux-release-arm64.AppImage",5
2026-07-31,"v0.1.0","mac-release-arm64.dmg",47
2026-07-31,"v0.1.0","windows-release-intel.exe",31
2026-08-03,"v0.1.2","wordpress-contributor-toolkit-0.1.2-linux-x64.AppImage",0
2026-08-03,"v0.1.2","wordpress-contributor-toolkit-0.1.2-mac-arm64.dmg",1
2026-08-03,"v0.1.2","wordpress-contributor-toolkit-0.1.2-win-x64.exe",0
2026-08-03,"v0.1.1","dist_WordPress.Contributor.Toolkit.Setup.0.1.0.exe",7
2026-08-03,"v0.1.1","WordPress.Contributor.Toolkit-0.1.0-arm64.dmg",15
2026-08-03,"v0.1.1","WordPress.Contributor.Toolkit-0.1.0.AppImage",20
2026-08-03,"v0.1.0","linux-release-arm64.AppImage",5
2026-08-03,"v0.1.0","mac-release-arm64.dmg",47
2026-08-03,"v0.1.0","windows-release-intel.exe",31
2026-08-10,"v0.1.2","wordpress-contributor-toolkit-0.1.2-linux-x64.AppImage",0
2026-08-10,"v0.1.2","wordpress-contributor-toolkit-0.1.2-mac-arm64.dmg",1
2026-08-10,"v0.1.2","wordpress-contributor-toolkit-0.1.2-win-x64.exe",0
2026-08-10,"v0.1.1","dist_WordPress.Contributor.Toolkit.Setup.0.1.0.exe",7
2026-08-10,"v0.1.1","WordPress.Contributor.Toolkit-0.1.0-arm64.dmg",15
2026-08-10,"v0.1.1","WordPress.Contributor.Toolkit-0.1.0.AppImage",20
2026-08-10,"v0.1.0","linux-release-arm64.AppImage",5
2026-08-10,"v0.1.0","mac-release-arm64.dmg",47
2026-08-10,"v0.1.0","windows-release-intel.exe",31
2026-08-17,"v1.0.0","wordpress-contributor-toolkit-1.0.0-linux-x86_64.AppImage",5
2026-08-17,"v1.0.0","wordpress-contributor-toolkit-1.0.0-mac-arm64.dmg",21
2026-08-17,"v1.0.0","wordpress-contributor-toolkit-1.0.0-win-x64.exe",18
2026-08-17,"v1.0.0-rc.2","wordpress-contributor-toolkit-1.0.0-rc.2-linux-x86_64.AppImage",3
2026-08-17,"v1.0.0-rc.2","wordpress-contributor-toolkit-1.0.0-rc.2-mac-arm64.dmg",3
2026-08-17,"v1.0.0-rc.2","wordpress-contributor-toolkit-1.0.0-rc.2-win-x64.exe",5
2026-08-17,"v1.0.0-rc.1","wordpress-contributor-toolkit-1.0.0-rc.1-linux-x86_64.AppImage",1
2026-08-17,"v1.0.0-rc.1","wordpress-contributor-toolkit-1.0.0-rc.1-mac-arm64.dmg",2
2026-08-17,"v1.0.0-rc.1","wordpress-contributor-toolkit-1.0.0-rc.1-win-x64.exe",6
2026-08-17,"v1.0.0-beta.1","wordpress-contributor-toolkit-1.0.0-beta.1-linux-x86_64.AppImage",1
2026-08-17,"v1.0.0-beta.1","wordpress-contributor-toolkit-1.0.0-beta.1-mac-arm64.dmg",4
2026-08-17,"v1.0.0-beta.1","wordpress-contributor-toolkit-1.0.0-beta.1-win-x64.exe",2
2026-08-17,"v0.1.2","wordpress-contributor-toolkit-0.1.2-linux-x64.AppImage",0
2026-08-17,"v0.1.2","wordpress-contributor-toolkit-0.1.2-mac-arm64.dmg",6
2026-08-17,"v0.1.2","wordpress-contributor-toolkit-0.1.2-win-x64.exe",1
2026-08-17,"v0.1.1","dist_WordPress.Contributor.Toolkit.Setup.0.1.0.exe",7
2026-08-17,"v0.1.1","WordPress.Contributor.Toolkit-0.1.0-arm64.dmg",15
2026-08-17,"v0.1.1","WordPress.Contributor.Toolkit-0.1.0.AppImage",20
2026-08-17,"v0.1.0","linux-release-arm64.AppImage",5
2026-08-17,"v0.1.0","mac-release-arm64.dmg",47
2026-08-17,"v0.1.0","windows-release-intel.exe",31
2026-08-24,"v1.0.1","wordpress-contributor-toolkit-1.0.1-linux-x86_64.AppImage",3
2026-08-24,"v1.0.1","wordpress-contributor-toolkit-1.0.1-mac-arm64.dmg",2
2026-08-24,"v1.0.1","wordpress-contributor-toolkit-1.0.1-win-x64.exe",5
2026-08-24,"v1.0.0","wordpress-contributor-toolkit-1.0.0-linux-x86_64.AppImage",9
2026-08-24,"v1.0.0","wordpress-contributor-toolkit-1.0.0-win-x64.exe",31
2026-08-24,"v1.0.0-rc.2","wordpress-contributor-toolkit-1.0.0-rc.2-linux-x86_64.AppImage",3
2026-08-24,"v1.0.0-rc.2","wordpress-contributor-toolkit-1.0.0-rc.2-win-x64.exe",5
2026-08-24,"v1.0.0-rc.1","wordpress-contributor-toolkit-1.0.0-rc.1-linux-x86_64.AppImage",1
2026-08-24,"v1.0.0-rc.1","wordpress-contributor-toolkit-1.0.0-rc.1-win-x64.exe",6
2026-08-24,"v1.0.0-beta.1","wordpress-contributor-toolkit-1.0.0-beta.1-linux-x86_64.AppImage",1
2026-08-24,"v1.0.0-beta.1","wordpress-contributor-toolkit-1.0.0-beta.1-win-x64.exe",2
2026-08-24,"v0.1.2","wordpress-contributor-toolkit-0.1.2-linux-x64.AppImage",0
2026-08-24,"v0.1.2","wordpress-contributor-toolkit-0.1.2-win-x64.exe",1
2026-08-24,"v0.1.1","dist_WordPress.Contributor.Toolkit.Setup.0.1.0.exe",7
2026-08-24,"v0.1.1","WordPress.Contributor.Toolkit-0.1.0.AppImage",20
2026-08-24,"v0.1.0","linux-release-arm64.AppImage",5
2026-08-24,"v0.1.0","windows-release-intel.exe",31
